name,first,last,initials,pos,tags
diahann carroll,dhn,crl,dc,PN,famous
sean connery,sn,cnr,sc,PN,famous
clint eastwood,clnt,stwd,ce,PN,famous
james garner,jms,grnr,jg,PN,famous
hal holbrook,hl,hlbrk,hh,PN,famous
dennis hopper,dns,hpr,dh,PN,famous
jayne mansfield,jn,mnsfld,jm,PN,famous
don murray,mr,,,PN,famous
kim novak,km,nvk,kn,PN,famous
peter o'toole,ptr,'tl,po,PN,famous
gena rowlands,gn,rwlnds,gr,PN,famous
omar sharif,mr,shrf,os,PN,famous
jo van fleet,j,flt,check,PN,famous
tony franciosa,tn,frncs,tf,PN,famous
annette funicello,nt,fncl,af,PN,famous
jill ireland,jl,rlnd,ji,PN,famous
fernanda montenegro,frnd,mntngr,fm,PN,famous
maximilian schell,mxmln,schl,ms,PN,famous
barbra streisand,brbr,strsnd,bs,PN,famous
tuesday weld,tsd,wld,tw,PN,famous
joanne woodward,jn,wdwrd,jw,PN,famous
alan bates,ln,bts,ab,PN,famous
ned beatty,nd,bt,nb,PN,famous
warren beatty,wrn,bt,wb,PN,famous
peter falk,ptr,flk,pf,PN,famous
gene hackman,gn,hckmn,gh,PN,famous
martin landau,mrtn,lnd,ml,PN,famous
armin mueller-stahl,rmn,mlr-sthl,am,PN,famous
estelle parsons,stl,prsns,ep,PN,famous
emmanuelle riva,mnl,rv,er,PN,famous
rip torn,rp,trn,rt,PN,famous
robert vaughn,rbrt,vghn,rv,PN,famous
alan arkin,ln,rkn,aa,PN,famous
julie christie,jl,chrst,jc,PN,famous
james coburn,jms,cbrn,jc,PN,famous
judi dench,jd,dnch,jd,PN,famous
catherine deneuve,cthrn,dnv,cd,PN,famous
louis gossett jr.,ls,jr.,check,PN,famous
william hickey,wlm,hck,wh,PN,famous
ian holm,n,hlm,ih,PN,famous
glenda jackson,glnd,jcksn,gj,PN,famous
sally kellerman,sl,klrmn,sk,PN,famous
mary tyler moore,mr,mr,check,PN,famous
jack nicholson,jck,nchlsn,jn,PN,famous
lee remick,l,rmck,lr,PN,famous
liv ullmann,lv,lmn,lu,PN,famous
alan alda,ln,ld,aa,PN,famous
ellen burstyn,ln,brstn,eb,PN,famous
dyan cannon,dn,cn,dc,PN,famous
patty duke,pt,dk,pd,PN,famous
albert finney,lbrt,fn,af,PN,famous
peter firth,ptr,frth,pf,PN,famous
louise fletcher,ls,fltchr,lf,PN,famous
richard harris,rchrd,hrs,rh,PN,famous
diane ladd,dn,ld,dl,PN,famous
vanessa redgrave,vns,rdgrv,vr,PN,famous
george c. scott,grg,sct,check,PN,famous
jennifer tilly,jnfr,tl,jt,PN,famous
seymour cassel,smr,csl,sc,PN,famous
jane fonda,jn,fnd,jf,PN,famous
joan hackett,jn,hckt,jh,PN,famous
ron howard,rn,hwrd,rh,PN,famous
mako,mk,,,PN,famous
shirley knight,shrl,knght,sk,PN,famous
ian mckellen,n,mckln,im,PN,famous
liza minnelli,lz,mnl,lm,PN,famous
burt reynolds,brt,rnlds,br,PN,famous
